0.5 cpu, 128 ram, 1 iterations, object type, object 1: 0.063ms
4.0 cpu, 8192 ram, 8 iterations, object type, object 8: 0.061ms
4.0 cpu, 8192 ram, 8 iterations, array_ type, array_ 8: 0.064ms
4.0 cpu, 8192 ram, 8 iterations, map___ type, map___ 8: 0.07ms
0.5 cpu, 16384 ram, 8 iterations, object type, object 8: 0.068ms
0.5 cpu, 16384 ram, 8 iterations, array_ type, array_ 8: 0.056ms
0.5 cpu, 16384 ram, 8 iterations, map___ type, map___ 8: 0.064ms
1.0 cpu, 16384 ram, 8 iterations, object type, object 8: 0.061ms
1.0 cpu, 16384 ram, 8 iterations, array_ type, array_ 8: 0.062ms
1.0 cpu, 16384 ram, 8 iterations, map___ type, map___ 8: 0.06ms
2.0 cpu, 16384 ram, 8 iterations, object type, object 8: 0.057ms
2.0 cpu, 16384 ram, 8 iterations, array_ type, array_ 8: 0.066ms
2.0 cpu, 16384 ram, 8 iterations, map___ type, map___ 8: 0.064ms
3.0 cpu, 16384 ram, 8 iterations, object type, object 8: 0.062ms
3.0 cpu, 16384 ram, 8 iterations, array_ type, array_ 8: 0.07ms
3.0 cpu, 16384 ram, 8 iterations, map___ type, map___ 8: 0.063ms
4.0 cpu, 16384 ram, 8 iterations, object type, object 8: 0.06ms
4.0 cpu, 16384 ram, 8 iterations, array_ type, array_ 8: 0.071ms
4.0 cpu, 16384 ram, 8 iterations, map___ type, map___ 8: 0.058ms
0.5 cpu, 128 ram, 9 iterations, object type, object 9: 0.069ms
0.5 cpu, 128 ram, 9 iterations, array_ type, array_ 9: 0.06ms
0.5 cpu, 128 ram, 9 iterations, map___ type, map___ 9: 0.06ms
1.0 cpu, 128 ram, 9 iterations, object type, object 9: 0.08ms
1.0 cpu, 128 ram, 9 iterations, array_ type, array_ 9: 0.067ms
1.0 cpu, 128 ram, 9 iterations, map___ type, map___ 9: 0.069ms
2.0 cpu, 128 ram, 9 iterations, object type, object 9: 0.057ms
2.0 cpu, 128 ram, 9 iterations, array_ type, array_ 9: 0.068ms
2.0 cpu, 128 ram, 9 iterations, map___ type, map___ 9: 0.068ms
3.0 cpu, 128 ram, 9 iterations, object type, object 9: 0.065ms
3.0 cpu, 128 ram, 9 iterations, array_ type, array_ 9: 0.071ms
3.0 cpu, 128 ram, 9 iterations, map___ type, map___ 9: 0.058ms
4.0 cpu, 128 ram, 9 iterations, object type, object 9: 0.057ms
4.0 cpu, 128 ram, 9 iterations, array_ type, array_ 9: 0.063ms
4.0 cpu, 128 ram, 9 iterations, map___ type, map___ 9: 0.059ms
0.5 cpu, 256 ram, 9 iterations, object type, object 9: 0.062ms
0.5 cpu, 256 ram, 9 iterations, array_ type, array_ 9: 0.066ms
0.5 cpu, 256 ram, 9 iterations, map___ type, map___ 9: 0.063ms
1.0 cpu, 256 ram, 9 iterations, object type, object 9: 0.063ms
1.0 cpu, 256 ram, 9 iterations, array_ type, array_ 9: 0.066ms
1.0 cpu, 256 ram, 9 iterations, map___ type, map___ 9: 0.06ms
2.0 cpu, 256 ram, 9 iterations, object type, object 9: 0.063ms
2.0 cpu, 256 ram, 9 iterations, array_ type, array_ 9: 0.063ms
2.0 cpu, 256 ram, 9 iterations, map___ type, map___ 9: 0.057ms
3.0 cpu, 256 ram, 9 iterations, object type, object 9: 0.062ms
3.0 cpu, 256 ram, 9 iterations, array_ type, array_ 9: 0.061ms
3.0 cpu, 256 ram, 9 iterations, map___ type, map___ 9: 0.059ms
4.0 cpu, 256 ram, 9 iterations, object type, object 9: 0.063ms
4.0 cpu, 256 ram, 9 iterations, array_ type, array_ 9: 0.061ms
4.0 cpu, 256 ram, 9 iterations, map___ type, map___ 9: 0.059ms
0.5 cpu, 512 ram, 9 iterations, object type, object 9: 0.063ms
0.5 cpu, 512 ram, 9 iterations, array_ type, array_ 9: 0.064ms
0.5 cpu, 512 ram, 9 iterations, map___ type, map___ 9: 0.06ms
1.0 cpu, 512 ram, 9 iterations, object type, object 9: 0.063ms
1.0 cpu, 512 ram, 9 iterations, array_ type, array_ 9: 0.06ms
1.0 cpu, 512 ram, 9 iterations, map___ type, map___ 9: 0.069ms
2.0 cpu, 512 ram, 9 iterations, object type, object 9: 0.064ms
2.0 cpu, 512 ram, 9 iterations, array_ type, array_ 9: 0.065ms
2.0 cpu, 512 ram, 9 iterations, map___ type, map___ 9: 0.06ms
3.0 cpu, 512 ram, 9 iterations, object type, object 9: 0.063ms
3.0 cpu, 512 ram, 9 iterations, array_ type, array_ 9: 0.061ms
3.0 cpu, 512 ram, 9 iterations, map___ type, map___ 9: 0.069ms
4.0 cpu, 512 ram, 9 iterations, object type, object 9: 0.059ms
4.0 cpu, 512 ram, 9 iterations, array_ type, array_ 9: 0.061ms
4.0 cpu, 512 ram, 9 iterations, map___ type, map___ 9: 0.061ms
0.5 cpu, 1024 ram, 9 iterations, object type, object 9: 0.068ms
0.5 cpu, 1024 ram, 9 iterations, array_ type, array_ 9: 0.066ms
0.5 cpu, 1024 ram, 9 iterations, map___ type, map___ 9: 0.071ms
1.0 cpu, 1024 ram, 9 iterations, object type, object 9: 0.06ms
1.0 cpu, 1024 ram, 9 iterations, array_ type, array_ 9: 0.062ms
1.0 cpu, 1024 ram, 9 iterations, map___ type, map___ 9: 0.073ms
2.0 cpu, 1024 ram, 9 iterations, object type, object 9: 0.066ms
2.0 cpu, 1024 ram, 9 iterations, array_ type, array_ 9: 0.074ms
2.0 cpu, 1024 ram, 9 iterations, map___ type, map___ 9: 0.06ms
3.0 cpu, 1024 ram, 9 iterations, object type, object 9: 0.061ms
3.0 cpu, 1024 ram, 9 iterations, array_ type, array_ 9: 0.066ms
3.0 cpu, 1024 ram, 9 iterations, map___ type, map___ 9: 0.088ms
4.0 cpu, 1024 ram, 9 iterations, object type, object 9: 0.074ms
4.0 cpu, 1024 ram, 9 iterations, array_ type, array_ 9: 0.06ms
4.0 cpu, 1024 ram, 9 iterations, map___ type, map___ 9: 0.071ms
0.5 cpu, 2048 ram, 9 iterations, object type, object 9: 0.065ms
0.5 cpu, 2048 ram, 9 iterations, array_ type, array_ 9: 0.061ms
0.5 cpu, 2048 ram, 9 iterations, map___ type, map___ 9: 0.077ms
1.0 cpu, 2048 ram, 9 iterations, object type, object 9: 0.063ms
1.0 cpu, 2048 ram, 9 iterations, array_ type, array_ 9: 0.062ms
1.0 cpu, 2048 ram, 9 iterations, map___ type, map___ 9: 0.058ms
2.0 cpu, 2048 ram, 9 iterations, object type, object 9: 0.067ms
2.0 cpu, 2048 ram, 9 iterations, array_ type, array_ 9: 0.063ms
2.0 cpu, 2048 ram, 9 iterations, map___ type, map___ 9: 0.073ms
3.0 cpu, 2048 ram, 9 iterations, object type, object 9: 0.064ms
3.0 cpu, 2048 ram, 9 iterations, array_ type, array_ 9: 0.067ms
3.0 cpu, 2048 ram, 9 iterations, map___ type, map___ 9: 0.06ms
4.0 cpu, 2048 ram, 9 iterations, object type, object 9: 0.061ms
4.0 cpu, 2048 ram, 9 iterations, array_ type, array_ 9: 0.059ms
4.0 cpu, 2048 ram, 9 iterations, map___ type, map___ 9: 0.062ms
0.5 cpu, 4096 ram, 9 iterations, object type, object 9: 0.064ms
0.5 cpu, 4096 ram, 9 iterations, array_ type, array_ 9: 0.062ms
0.5 cpu, 4096 ram, 9 iterations, map___ type, map___ 9: 0.056ms
1.0 cpu, 4096 ram, 9 iterations, object type, object 9: 0.058ms
1.0 cpu, 4096 ram, 9 iterations, array_ type, array_ 9: 0.069ms
1.0 cpu, 4096 ram, 9 iterations, map___ type, map___ 9: 0.075ms
2.0 cpu, 4096 ram, 9 iterations, object type, object 9: 0.063ms
2.0 cpu, 4096 ram, 9 iterations, array_ type, array_ 9: 0.059ms
2.0 cpu, 4096 ram, 9 iterations, map___ type, map___ 9: 0.064ms
3.0 cpu, 4096 ram, 9 iterations, object type, object 9: 0.079ms
3.0 cpu, 4096 ram, 9 iterations, array_ type, array_ 9: 0.062ms
3.0 cpu, 4096 ram, 9 iterations, map___ type, map___ 9: 0.063ms
4.0 cpu, 4096 ram, 9 iterations, object type, object 9: 0.059ms
4.0 cpu, 4096 ram, 9 iterations, array_ type, array_ 9: 0.061ms
4.0 cpu, 4096 ram, 9 iterations, map___ type, map___ 9: 0.059ms
0.5 cpu, 8192 ram, 9 iterations, object type, object 9: 0.061ms
0.5 cpu, 8192 ram, 9 iterations, array_ type, array_ 9: 0.064ms
0.5 cpu, 8192 ram, 9 iterations, map___ type, map___ 9: 0.057ms
1.0 cpu, 8192 ram, 9 iterations, object type, object 9: 0.063ms
1.0 cpu, 8192 ram, 9 iterations, array_ type, array_ 9: 0.059ms
1.0 cpu, 8192 ram, 9 iterations, map___ type, map___ 9: 0.056ms
2.0 cpu, 8192 ram, 9 iterations, object type, object 9: 0.062ms
2.0 cpu, 8192 ram, 9 iterations, array_ type, array_ 9: 0.065ms
2.0 cpu, 8192 ram, 9 iterations, map___ type, map___ 9: 0.061ms
3.0 cpu, 8192 ram, 9 iterations, object type, object 9: 0.07ms
3.0 cpu, 8192 ram, 9 iterations, array_ type, array_ 9: 0.066ms
3.0 cpu, 8192 ram, 9 iterations, map___ type, map___ 9: 0.06ms
4.0 cpu, 8192 ram, 9 iterations, object type, object 9: 0.055ms
4.0 cpu, 8192 ram, 9 iterations, array_ type, array_ 9: 0.06ms
4.0 cpu, 8192 ram, 9 iterations, map___ type, map___ 9: 0.06ms
0.5 cpu, 16384 ram, 9 iterations, object type, object 9: 0.061ms
0.5 cpu, 16384 ram, 9 iterations, array_ type, array_ 9: 0.061ms
0.5 cpu, 16384 ram, 9 iterations, map___ type, map___ 9: 0.062ms
1.0 cpu, 16384 ram, 9 iterations, object type, object 9: 0.059ms
1.0 cpu, 16384 ram, 9 iterations, array_ type, array_ 9: 0.059ms
1.0 cpu, 16384 ram, 9 iterations, map___ type, map___ 9: 0.06ms
2.0 cpu, 16384 ram, 9 iterations, object type, object 9: 0.061ms
2.0 cpu, 16384 ram, 9 iterations, array_ type, array_ 9: 0.058ms
2.0 cpu, 16384 ram, 9 iterations, map___ type, map___ 9: 0.062ms
3.0 cpu, 16384 ram, 9 iterations, object type, object 9: 0.06ms
3.0 cpu, 16384 ram, 9 iterations, array_ type, array_ 9: 0.062ms
3.0 cpu, 16384 ram, 9 iterations, map___ type, map___ 9: 0.061ms
4.0 cpu, 16384 ram, 9 iterations, object type, object 9: 0.057ms
4.0 cpu, 16384 ram, 9 iterations, array_ type, array_ 9: 0.06ms
4.0 cpu, 16384 ram, 9 iterations, map___ type, map___ 9: 0.059ms
0.5 cpu, 128 ram, 10 iterations, object type, object 10: 0.059ms
0.5 cpu, 128 ram, 10 iterations, array_ type, array_ 10: 0.065ms
0.5 cpu, 128 ram, 10 iterations, map___ type, map___ 10: 0.059ms
1.0 cpu, 128 ram, 10 iterations, object type, object 10: 0.061ms
1.0 cpu, 128 ram, 10 iterations, array_ type, array_ 10: 0.063ms
1.0 cpu, 128 ram, 10 iterations, map___ type, map___ 10: 0.059ms
2.0 cpu, 128 ram, 10 iterations, object type, object 10: 0.06ms
2.0 cpu, 128 ram, 10 iterations, array_ type, array_ 10: 0.062ms
2.0 cpu, 128 ram, 10 iterations, map___ type, map___ 10: 0.061ms
3.0 cpu, 128 ram, 10 iterations, object type, object 10: 0.065ms
3.0 cpu, 128 ram, 10 iterations, array_ type, array_ 10: 0.062ms
3.0 cpu, 128 ram, 10 iterations, map___ type, map___ 10: 0.061ms
4.0 cpu, 128 ram, 10 iterations, object type, object 10: 0.074ms
4.0 cpu, 128 ram, 10 iterations, array_ type, array_ 10: 0.065ms
4.0 cpu, 128 ram, 10 iterations, map___ type, map___ 10: 0.07ms
0.5 cpu, 256 ram, 10 iterations, object type, object 10: 0.066ms
0.5 cpu, 256 ram, 10 iterations, array_ type, array_ 10: 0.061ms
0.5 cpu, 256 ram, 10 iterations, map___ type, map___ 10: 0.058ms
1.0 cpu, 256 ram, 10 iterations, object type, object 10: 0.06ms
1.0 cpu, 256 ram, 10 iterations, array_ type, array_ 10: 0.063ms
1.0 cpu, 256 ram, 10 iterations, map___ type, map___ 10: 0.065ms
2.0 cpu, 256 ram, 10 iterations, object type, object 10: 0.06ms
2.0 cpu, 256 ram, 10 iterations, array_ type, array_ 10: 0.065ms
2.0 cpu, 256 ram, 10 iterations, map___ type, map___ 10: 0.06ms
3.0 cpu, 256 ram, 10 iterations, object type, object 10: 0.069ms
3.0 cpu, 256 ram, 10 iterations, array_ type, array_ 10: 0.074ms
3.0 cpu, 256 ram, 10 iterations, map___ type, map___ 10: 0.06ms
4.0 cpu, 256 ram, 10 iterations, object type, object 10: 0.061ms
4.0 cpu, 256 ram, 10 iterations, array_ type, array_ 10: 0.064ms
4.0 cpu, 256 ram, 10 iterations, map___ type, map___ 10: 0.071ms
0.5 cpu, 512 ram, 10 iterations, object type, object 10: 0.06ms
0.5 cpu, 512 ram, 10 iterations, array_ type, array_ 10: 0.062ms
0.5 cpu, 512 ram, 10 iterations, map___ type, map___ 10: 0.067ms
1.0 cpu, 512 ram, 10 iterations, object type, object 10: 0.066ms
1.0 cpu, 512 ram, 10 iterations, array_ type, array_ 10: 0.068ms
1.0 cpu, 512 ram, 10 iterations, map___ type, map___ 10: 0.086ms
2.0 cpu, 512 ram, 10 iterations, object type, object 10: 0.064ms
2.0 cpu, 512 ram, 10 iterations, array_ type, array_ 10: 0.067ms
2.0 cpu, 512 ram, 10 iterations, map___ type, map___ 10: 0.067ms
3.0 cpu, 512 ram, 10 iterations, object type, object 10: 0.063ms
3.0 cpu, 512 ram, 10 iterations, array_ type, array_ 10: 0.063ms
3.0 cpu, 512 ram, 10 iterations, map___ type, map___ 10: 0.062ms
4.0 cpu, 512 ram, 10 iterations, object type, object 10: 0.072ms
4.0 cpu, 512 ram, 10 iterations, array_ type, array_ 10: 0.06ms
4.0 cpu, 512 ram, 10 iterations, map___ type, map___ 10: 0.065ms
0.5 cpu, 1024 ram, 10 iterations, object type, object 10: 0.066ms
0.5 cpu, 1024 ram, 10 iterations, array_ type, array_ 10: 0.06ms
0.5 cpu, 1024 ram, 10 iterations, map___ type, map___ 10: 0.063ms
1.0 cpu, 1024 ram, 10 iterations, object type, object 10: 0.064ms
1.0 cpu, 1024 ram, 10 iterations, array_ type, array_ 10: 0.07ms
1.0 cpu, 1024 ram, 10 iterations, map___ type, map___ 10: 0.058ms
2.0 cpu, 1024 ram, 10 iterations, object type, object 10: 0.092ms
2.0 cpu, 1024 ram, 10 iterations, array_ type, array_ 10: 0.089ms
2.0 cpu, 1024 ram, 10 iterations, map___ type, map___ 10: 0.07ms
3.0 cpu, 1024 ram, 10 iterations, object type, object 10: 0.072ms
3.0 cpu, 1024 ram, 10 iterations, array_ type, array_ 10: 0.059ms
3.0 cpu, 1024 ram, 10 iterations, map___ type, map___ 10: 0.064ms
4.0 cpu, 1024 ram, 10 iterations, object type, object 10: 0.065ms
4.0 cpu, 1024 ram, 10 iterations, array_ type, array_ 10: 0.061ms
4.0 cpu, 1024 ram, 10 iterations, map___ type, map___ 10: 0.063ms
0.5 cpu, 2048 ram, 10 iterations, object type, object 10: 0.065ms
0.5 cpu, 2048 ram, 10 iterations, array_ type, array_ 10: 0.065ms
0.5 cpu, 2048 ram, 10 iterations, map___ type, map___ 10: 0.062ms
1.0 cpu, 2048 ram, 10 iterations, object type, object 10: 0.064ms
1.0 cpu, 2048 ram, 10 iterations, array_ type, array_ 10: 0.063ms
1.0 cpu, 2048 ram, 10 iterations, map___ type, map___ 10: 0.062ms
2.0 cpu, 2048 ram, 10 iterations, object type, object 10: 0.064ms
2.0 cpu, 2048 ram, 10 iterations, array_ type, array_ 10: 0.064ms
2.0 cpu, 2048 ram, 10 iterations, map___ type, map___ 10: 0.068ms
3.0 cpu, 2048 ram, 10 iterations, object type, object 10: 0.058ms
3.0 cpu, 2048 ram, 10 iterations, array_ type, array_ 10: 0.063ms
3.0 cpu, 2048 ram, 10 iterations, map___ type, map___ 10: 0.076ms
4.0 cpu, 2048 ram, 10 iterations, object type, object 10: 0.058ms
4.0 cpu, 2048 ram, 10 iterations, array_ type, array_ 10: 0.067ms
4.0 cpu, 2048 ram, 10 iterations, map___ type, map___ 10: 0.063ms
0.5 cpu, 4096 ram, 10 iterations, object type, object 10: 0.064ms
0.5 cpu, 4096 ram, 10 iterations, array_ type, array_ 10: 0.063ms
0.5 cpu, 4096 ram, 10 iterations, map___ type, map___ 10: 0.074ms
1.0 cpu, 4096 ram, 10 iterations, object type, object 10: 0.058ms
1.0 cpu, 4096 ram, 10 iterations, array_ type, array_ 10: 0.059ms
1.0 cpu, 4096 ram, 10 iterations, map___ type, map___ 10: 0.06ms
2.0 cpu, 4096 ram, 10 iterations, object type, object 10: 0.059ms
2.0 cpu, 4096 ram, 10 iterations, array_ type, array_ 10: 0.059ms
2.0 cpu, 4096 ram, 10 iterations, map___ type, map___ 10: 0.062ms
3.0 cpu, 4096 ram, 10 iterations, object type, object 10: 0.073ms
3.0 cpu, 4096 ram, 10 iterations, array_ type, array_ 10: 0.068ms
3.0 cpu, 4096 ram, 10 iterations, map___ type, map___ 10: 0.068ms
4.0 cpu, 4096 ram, 10 iterations, object type, object 10: 0.064ms
4.0 cpu, 4096 ram, 10 iterations, array_ type, array_ 10: 0.064ms
4.0 cpu, 4096 ram, 10 iterations, map___ type, map___ 10: 0.064ms
0.5 cpu, 8192 ram, 10 iterations, object type, object 10: 0.063ms
0.5 cpu, 8192 ram, 10 iterations, array_ type, array_ 10: 0.083ms
0.5 cpu, 8192 ram, 10 iterations, map___ type, map___ 10: 0.064ms
1.0 cpu, 8192 ram, 10 iterations, object type, object 10: 0.075ms
1.0 cpu, 8192 ram, 10 iterations, array_ type, array_ 10: 0.065ms
1.0 cpu, 8192 ram, 10 iterations, map___ type, map___ 10: 0.065ms
2.0 cpu, 8192 ram, 10 iterations, object type, object 10: 0.059ms
2.0 cpu, 8192 ram, 10 iterations, array_ type, array_ 10: 0.062ms
2.0 cpu, 8192 ram, 10 iterations, map___ type, map___ 10: 0.064ms
3.0 cpu, 8192 ram, 10 iterations, object type, object 10: 0.06ms
3.0 cpu, 8192 ram, 10 iterations, array_ type, array_ 10: 0.055ms
3.0 cpu, 8192 ram, 10 iterations, map___ type, map___ 10: 0.058ms
4.0 cpu, 8192 ram, 10 iterations, object type, object 10: 0.079ms
4.0 cpu, 8192 ram, 10 iterations, array_ type, array_ 10: 0.059ms
4.0 cpu, 8192 ram, 10 iterations, map___ type, map___ 10: 0.061ms
0.5 cpu, 16384 ram, 10 iterations, object type, object 10: 0.061ms
0.5 cpu, 16384 ram, 10 iterations, array_ type, array_ 10: 0.058ms
0.5 cpu, 16384 ram, 10 iterations, map___ type, map___ 10: 0.062ms
1.0 cpu, 16384 ram, 10 iterations, object type, object 10: 0.091ms
1.0 cpu, 16384 ram, 10 iterations, array_ type, array_ 10: 0.067ms
1.0 cpu, 16384 ram, 10 iterations, map___ type, map___ 10: 0.061ms
2.0 cpu, 16384 ram, 10 iterations, object type, object 10: 0.077ms
2.0 cpu, 16384 ram, 10 iterations, array_ type, array_ 10: 0.056ms
2.0 cpu, 16384 ram, 10 iterations, map___ type, map___ 10: 0.077ms
3.0 cpu, 16384 ram, 10 iterations, object type, object 10: 0.065ms
3.0 cpu, 16384 ram, 10 iterations, array_ type, array_ 10: 0.075ms
3.0 cpu, 16384 ram, 10 iterations, map___ type, map___ 10: 0.06ms
4.0 cpu, 16384 ram, 10 iterations, object type, object 10: 0.078ms
4.0 cpu, 16384 ram, 10 iterations, array_ type, array_ 10: 0.065ms
4.0 cpu, 16384 ram, 10 iterations, map___ type, map___ 10: 0.067ms
0.5 cpu, 128 ram, 20 iterations, object type, object 20: 0.068ms
0.5 cpu, 128 ram, 20 iterations, array_ type, array_ 20: 0.064ms
0.5 cpu, 128 ram, 20 iterations, map___ type, map___ 20: 0.061ms
1.0 cpu, 128 ram, 20 iterations, object type, object 20: 0.061ms
1.0 cpu, 128 ram, 20 iterations, array_ type, array_ 20: 0.064ms
1.0 cpu, 128 ram, 20 iterations, map___ type, map___ 20: 0.063ms
2.0 cpu, 128 ram, 20 iterations, object type, object 20: 0.07ms
2.0 cpu, 128 ram, 20 iterations, array_ type, array_ 20: 0.064ms
2.0 cpu, 128 ram, 20 iterations, map___ type, map___ 20: 0.058ms
3.0 cpu, 128 ram, 20 iterations, object type, object 20: 0.066ms
3.0 cpu, 128 ram, 20 iterations, array_ type, array_ 20: 0.059ms
3.0 cpu, 128 ram, 20 iterations, map___ type, map___ 20: 0.066ms
4.0 cpu, 128 ram, 20 iterations, object type, object 20: 0.068ms
4.0 cpu, 128 ram, 20 iterations, array_ type, array_ 20: 0.062ms
4.0 cpu, 128 ram, 20 iterations, map___ type, map___ 20: 0.061ms
0.5 cpu, 256 ram, 20 iterations, object type, object 20: 0.065ms
0.5 cpu, 256 ram, 20 iterations, array_ type, array_ 20: 0.072ms
0.5 cpu, 256 ram, 20 iterations, map___ type, map___ 20: 0.064ms
1.0 cpu, 256 ram, 20 iterations, object type, object 20: 0.09ms
1.0 cpu, 256 ram, 20 iterations, array_ type, array_ 20: 0.064ms
1.0 cpu, 256 ram, 20 iterations, map___ type, map___ 20: 0.064ms
2.0 cpu, 256 ram, 20 iterations, object type, object 20: 0.064ms
2.0 cpu, 256 ram, 20 iterations, array_ type, array_ 20: 0.069ms
2.0 cpu, 256 ram, 20 iterations, map___ type, map___ 20: 0.063ms
3.0 cpu, 256 ram, 20 iterations, object type, object 20: 0.06ms
3.0 cpu, 256 ram, 20 iterations, array_ type, array_ 20: 0.062ms
3.0 cpu, 256 ram, 20 iterations, map___ type, map___ 20: 0.065ms
4.0 cpu, 256 ram, 20 iterations, object type, object 20: 0.064ms
4.0 cpu, 256 ram, 20 iterations, array_ type, array_ 20: 0.072ms
4.0 cpu, 256 ram, 20 iterations, map___ type, map___ 20: 0.063ms
0.5 cpu, 512 ram, 20 iterations, object type, object 20: 0.099ms
0.5 cpu, 512 ram, 20 iterations, array_ type, array_ 20: 0.064ms
0.5 cpu, 512 ram, 20 iterations, map___ type, map___ 20: 0.067ms
1.0 cpu, 512 ram, 20 iterations, object type, object 20: 0.061ms
1.0 cpu, 512 ram, 20 iterations, array_ type, array_ 20: 0.066ms
1.0 cpu, 512 ram, 20 iterations, map___ type, map___ 20: 0.063ms
2.0 cpu, 512 ram, 20 iterations, object type, object 20: 0.064ms
2.0 cpu, 512 ram, 20 iterations, array_ type, array_ 20: 0.066ms
2.0 cpu, 512 ram, 20 iterations, map___ type, map___ 20: 0.068ms
3.0 cpu, 512 ram, 20 iterations, object type, object 20: 0.061ms
3.0 cpu, 512 ram, 20 iterations, array_ type, array_ 20: 0.08ms
3.0 cpu, 512 ram, 20 iterations, map___ type, map___ 20: 0.059ms
4.0 cpu, 512 ram, 20 iterations, object type, object 20: 0.062ms
4.0 cpu, 512 ram, 20 iterations, array_ type, array_ 20: 0.075ms
4.0 cpu, 512 ram, 20 iterations, map___ type, map___ 20: 0.073ms
0.5 cpu, 1024 ram, 20 iterations, object type, object 20: 0.067ms
0.5 cpu, 1024 ram, 20 iterations, array_ type, array_ 20: 0.083ms
0.5 cpu, 1024 ram, 20 iterations, map___ type, map___ 20: 0.064ms
1.0 cpu, 1024 ram, 20 iterations, object type, object 20: 0.064ms
1.0 cpu, 1024 ram, 20 iterations, array_ type, array_ 20: 0.125ms
1.0 cpu, 1024 ram, 20 iterations, map___ type, map___ 20: 0.065ms
2.0 cpu, 1024 ram, 20 iterations, object type, object 20: 0.071ms
2.0 cpu, 1024 ram, 20 iterations, array_ type, array_ 20: 0.065ms
2.0 cpu, 1024 ram, 20 iterations, map___ type, map___ 20: 0.085ms
3.0 cpu, 1024 ram, 20 iterations, object type, object 20: 0.067ms
3.0 cpu, 1024 ram, 20 iterations, array_ type, array_ 20: 0.063ms
3.0 cpu, 1024 ram, 20 iterations, map___ type, map___ 20: 0.057ms
4.0 cpu, 1024 ram, 20 iterations, object type, object 20: 0.062ms
4.0 cpu, 1024 ram, 20 iterations, array_ type, array_ 20: 0.062ms
4.0 cpu, 1024 ram, 20 iterations, map___ type, map___ 20: 0.061ms
0.5 cpu, 2048 ram, 20 iterations, object type, object 20: 0.067ms
0.5 cpu, 2048 ram, 20 iterations, array_ type, array_ 20: 0.065ms
0.5 cpu, 2048 ram, 20 iterations, map___ type, map___ 20: 0.067ms
1.0 cpu, 2048 ram, 20 iterations, object type, object 20: 0.06ms
1.0 cpu, 2048 ram, 20 iterations, array_ type, array_ 20: 0.063ms
1.0 cpu, 2048 ram, 20 iterations, map___ type, map___ 20: 0.059ms
2.0 cpu, 2048 ram, 20 iterations, object type, object 20: 0.066ms
2.0 cpu, 2048 ram, 20 iterations, array_ type, array_ 20: 0.065ms
2.0 cpu, 2048 ram, 20 iterations, map___ type, map___ 20: 0.072ms
3.0 cpu, 2048 ram, 20 iterations, object type, object 20: 0.064ms
3.0 cpu, 2048 ram, 20 iterations, array_ type, array_ 20: 0.064ms
3.0 cpu, 2048 ram, 20 iterations, map___ type, map___ 20: 0.06ms
4.0 cpu, 2048 ram, 20 iterations, object type, object 20: 0.068ms
4.0 cpu, 2048 ram, 20 iterations, array_ type, array_ 20: 0.067ms
4.0 cpu, 2048 ram, 20 iterations, map___ type, map___ 20: 0.06ms
0.5 cpu, 4096 ram, 20 iterations, object type, object 20: 0.066ms
0.5 cpu, 4096 ram, 20 iterations, array_ type, array_ 20: 0.071ms
0.5 cpu, 4096 ram, 20 iterations, map___ type, map___ 20: 0.07ms
1.0 cpu, 4096 ram, 20 iterations, object type, object 20: 0.067ms
1.0 cpu, 4096 ram, 20 iterations, array_ type, array_ 20: 0.091ms
1.0 cpu, 4096 ram, 20 iterations, map___ type, map___ 20: 0.061ms
2.0 cpu, 4096 ram, 20 iterations, object type, object 20: 0.066ms
2.0 cpu, 4096 ram, 20 iterations, array_ type, array_ 20: 0.075ms
2.0 cpu, 4096 ram, 20 iterations, map___ type, map___ 20: 0.062ms
3.0 cpu, 4096 ram, 20 iterations, object type, object 20: 0.061ms
3.0 cpu, 4096 ram, 20 iterations, array_ type, array_ 20: 0.065ms
3.0 cpu, 4096 ram, 20 iterations, map___ type, map___ 20: 0.059ms
4.0 cpu, 4096 ram, 20 iterations, object type, object 20: 0.063ms
4.0 cpu, 4096 ram, 20 iterations, array_ type, array_ 20: 0.078ms
4.0 cpu, 4096 ram, 20 iterations, map___ type, map___ 20: 0.066ms
0.5 cpu, 8192 ram, 20 iterations, object type, object 20: 0.062ms
0.5 cpu, 8192 ram, 20 iterations, array_ type, array_ 20: 0.068ms
0.5 cpu, 8192 ram, 20 iterations, map___ type, map___ 20: 0.062ms
1.0 cpu, 8192 ram, 20 iterations, object type, object 20: 0.061ms
1.0 cpu, 8192 ram, 20 iterations, array_ type, array_ 20: 0.061ms
1.0 cpu, 8192 ram, 20 iterations, map___ type, map___ 20: 0.069ms
2.0 cpu, 8192 ram, 20 iterations, object type, object 20: 0.076ms
2.0 cpu, 8192 ram, 20 iterations, array_ type, array_ 20: 0.061ms
2.0 cpu, 8192 ram, 20 iterations, map___ type, map___ 20: 0.066ms
3.0 cpu, 8192 ram, 20 iterations, object type, object 20: 0.084ms
3.0 cpu, 8192 ram, 20 iterations, array_ type, array_ 20: 0.066ms
3.0 cpu, 8192 ram, 20 iterations, map___ type, map___ 20: 0.057ms
4.0 cpu, 8192 ram, 20 iterations, object type, object 20: 0.062ms
4.0 cpu, 8192 ram, 20 iterations, array_ type, array_ 20: 0.074ms
4.0 cpu, 8192 ram, 20 iterations, map___ type, map___ 20: 0.072ms
0.5 cpu, 16384 ram, 20 iterations, object type, object 20: 0.062ms
